title,price,price_text,currency,price_usd,condition,metal_item_page,purity_item_page,weight_item_page,length_item_page,url,brand,metal,metal_url,item_id,condition_clean,item_type,purity,weight_grams
"Tiffany Co 18k Yellow Gold Elsa Peretti Diamond by the Yard Necklace 16""",649.99,US $649.99,USD,649.99,Pre-owned - Good Pre-owned - Good More information - About this item condition,,,,,https://www.ebay.com/itm/116790370464?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8H6JRXRAM601XXPRCG&hash=item1b313fa0a0:g:vrAAAeSwadlo0A6j&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1cxEtO3lNddfCCUzYqLJZptsMo1%2BqTecJYE7edVMMmsTrJEWsm%2B9%2F470HCE3CzuJg%2B7VeTWkL1M76oifXvl9PvPw%2F8V7mfSPKrZsX48S4kbamSTXtjjm9YJSuodkjpdLv2kMry1Dp5dv1l%2FYCFDv7tsJ2xVIx%2Byy%2BfxrO4a3NTofAq0P8aBCgdqD1k7Ac1%2Bfn9JBJn65KXpLhpG85mJK2fIF0RZTUz6MPDggsvYRJjEsjUAYFIv5GB7mQZ0hVuG2ICztHNYKC5qwWK4ZoHBDRj4n84WEsVG%2B--Nge7S2HF08y8Qf%2FcEN8KhlW6x6cHgvnI%3D%7Ctkp%3ABk9SR9bUs5qyZg,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc,116790370464,Good,Necklace,18k Gold,
Tiffany & Co. Bean Pendant Necklace 18k Yellow Gold 750 Elsa Peretti excellent,675.02,US $675.02,USD,675.02,Pre-owned - Excellent Pre-owned - Excellent More information - About this item condition,,,,,https://www.ebay.com/itm/285507690310?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8H31ABHRSQYXGDY7AM&hash=item4279959f46:g:74YAAeSwx8ho1kN4&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1fNM8eZplcxjiIE47n2vGzmXek70vKAS0mcNMzqHkywIy3zCJ6mQFSf5iV6IEAPHkxkzaBOWm8WfddUOVY9xTwPKJSh7ht%2F3tYYd%2FytssjHhn4HFqClGRnGZuSwOPlyHwaBmO0YRxb%2F1Puv592Uu5ffQzVLUDLbwPGZzJYhZLQa1Vv3VX57ta3YFGL2CsnX02uVIl73LEAS18SImIbM0HcQzFSeiem53clW9GX1ZOzRwFoHTSnj2CidiwuoMnM2vnSzV%2Bx4QSk3IpKifoRUyAfXQ%2FnuiRORi--9NNbBQESXn7A%2F0jAAI19wqISBl5SKY5g%3D%7Ctkp%3ABFBM1NSzmrJm,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc,285507690310,Excellent,Necklace,18k Gold,
Vintage Tiffany & Co 14K  585  Yellow Gold Oval Locket 4.48 Grams,699.99,US $699.99,USD,699.99,Pre-owned - Good Pre-owned - Good More information - About this item condition,,,,,https://www.ebay.com/itm/167807383338?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCXA0Z014PFJVYY94D25Y&hash=item271219772a:g:TJQAAeSwSUto0FW3,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc,167807383338,Good,Locket,14k Gold,4.48
Tiffany & Co. 18K Yellow Gold T Wire Bracelet Medium Size Flawless W/Box,910.0,US $910.00,USD,910.0,Pre-owned - Excellent Pre-owned - Excellent More information - About this item condition,,,,,https://www.ebay.com/itm/306513491500?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8H1Q5Z2Q61MTVBV0CB&hash=item475da0b62c:g:oB4AAeSw88No0yTi&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1etlqnhRjF4RT5DSfydSgXbOkWWpZ%2FGPvR8ReQ%2BSXm932j4f98sb0dmH--OIaPuKCWlZA9YAPjqa6C%2BD%2BmgOh9mdi%2FKDw3BASoFX0is88DEddlxUtqgwdSyHH%2Bx1bMAPXg4j1PuX%2Bmicb%2B8eA0x7kC0DTScKvRxuN3R4bO%2BurqgEzrjpppRvIlg7K%2FDeiLR9EUBzLWl11ALlfcCOLcWDazpp2g%2FRa95jgskBrzRlb0yJo8RBDyMqMYFvkXZAqA8tRSrunJFb2iDZ4VWCSiZr0XDnW8U8YkDJOKjM2v0Dpr%2F0S0XAIJV3LwlNfFlBWgeYKY%3D%7Ctkp%3ABk9SR9bUs5qyZg,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc,306513491500,Excellent,Bracelet,18k Gold,
Tiffany & Co. 18k Solid Yellow Gold Lovey Dovey Charm Pendant,1500.0,"US $1,500.00",USD,1500.0,Pre-owned - Good Pre-owned - Good More information - About this item condition,,,,,https://www.ebay.com/itm/205746575386?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8JRAWCXJ806SXVDFA0&hash=item2fe773981a:g:RqAAAeSwaA5o1dPK&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1eMVCXVSepNRiqy35hDkYk0sHFZ7GK201crNFW%2BbMx5ErexlWV4GLj6IFVwB792ZkY7Bt7tynGtXxbug4IYTf2pFvxueohTZrauEvjVGetzcx7jjTy9PBnua8ZaX7j3P%2FaeClIOIswOamf%2BVHhlsdHZHhyx8OcPOd9zvjlEZgQurJnDbfxBuJoiSqg9OX5jr3Csah73A%2FMD0g8xPm3O2uQ4WIhOFX8vGfuBPVkvJUaBj0NI8aOseaxhZsrkqg7oCbdYVZtkCpcVlnBOb7Q4MwFQQmQQS36bLKEskwT58N7p8MpVrTQRh2rpxxXtiRS8j%2Bc%3D%7Ctkp%3ABFBM2NSzmrJm,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc,205746575386,Good,Pendant,18k Gold,
"TIFFANY & Co Honeycomb Honey Bumble Bee Pendant Necklace 18k Gold 16"" Inch 4gm.",1009.0,"US $1,009.00",USD,1009.0,Pre-owned - Good Pre-owned - Good More information - About this item condition,,,,,https://www.ebay.com/itm/277395747465?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCXA0T0WDSZZJ2V6BZRB8&hash=item4096133289:g:-7MAAeSwZCVo0Eem,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc,277395747465,Good,Necklace,18k Gold,4.0
Tiffany Co 18k Yellow Gold 750 Mini Padlock Lock 1837 Pendant Charm Necklace 16”,999.0,US $999.00,USD,999.0,Pre-owned - Good Pre-owned - Good More information - About this item condition,,,,,https://www.ebay.com/itm/127361439540?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8HEXSG2JM8JF90D10Q&hash=item1da7555734:g:SzgAAeSw3ZVowLEp&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1fwhcSuprOamGaztXhWiczDwy3yMTHdKdKFHuJHCV4GwLAzhsYPXgzoJQYrVucNehut7gK%2BuTxMxvLf3IZyPvuaKJK9ccod8MyrO2FftekNykjE3MAchr3Qfze2lWy1KIqgQM4SBl2WvjZexwoLWIZJxqTtpkAuHeBZkmv5ZP1Zx%2BpZNZHIttkgx2ta6AYvyemKyY3t6wvPXk%2FYVafJx7ySoAG%2F6Y9DpoNuSEKhDf5B%2FEp20ZnxH7w%2BdBwIb7RIYd5dJsX%2Fwi90mimystu9sjdabPVhmDFd9hXzmSzZpATP3insoyavk6l28neK%2FqACEwE%3D%7Ctkp%3ABk9SR9TUs5qyZg,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc,127361439540,Good,Necklace,18k Gold,
Tiffany & Co. Vintage Sterling 925 & 750 Gold Hook And Eye Ring,160.0,US $160.00,USD,160.0,Pre-owned - Good Pre-owned - Good More information - About this item condition,,,,,https://www.ebay.com/itm/116795381959?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8H4EYNW9AYS8JWAE50&hash=item1b318c18c7:g:aTwAAeSwz2Jo1F76&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1d1W%2FYlOIvCUe82LX4BIvPfND3O0oR7vck8pZJ4F0WUpTHTmSfOowB%2BubdEdF5zqpmcHGoTxN%2FIDPGHZIczwj8mVt9KZh%2FLNvCnvqZg%2BUh2EYevjYfOd4gV6txeai3xz9%2BkBli9TEFMUZ%2F7%2BRj%2FOdidSASo9v814tBLQIk%2BHMNeidZoaVUL9EYo6pex%2BnpmMk0WRRNE5ZToBnj--BKkS9wmdVoaC2aG1kQyjxcxdIiC1562BF795fWrw20JWzB%2BoiTYvpQ6AbSvdSk4zmgX3VZhACCRWA%2FVtS7RHCzeFYq7C2SQ1vzH%2BQPxHZEadim7T7A%3D%7Ctkp%3ABFBM1tSzmrJm,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc,116795381959,Good,Ring,18k Gold,
Tiffany & Co. Sterling Silver “LOVE” pendant Necklace,68.0,US $68.00,USD,68.0,New without packaging New without packaging More information - About this item condition,,,,,https://www.ebay.com/itm/257130342714?_skw=Tiffany+%26+Co.+%22Sterling+Silver%22&itmmeta=01K6E3CSGXBH58FG54DQRQEEVT&hash=item3bde29a93a:g:jw0AAeSwjvlotueJ&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cJqpioy6b5LLv260BF13Yu7TuVrIz4yRo95oPOUZ1YKtC0SAgMYl8OdXd1bU88ZJ5I7e%2FZ1DKRFeVspj%2F060roUJAoQ7Uag%2BaV2%2BNGTzO3zvaPNhPB%2FmZpPeS6rzX%2FuK1Cs6MSe%2ByoB6wLOM50pFc409H7f9wI%2BQvtOAZtfRH1TQobE7al3Hg7AmsKwwKxiy8W2e0ys9zHkC3d69bRYmOKVahJvczc77Ed2P5sIQK9x1ZVS%2FkgeOdxjP75NaW1LuxHJOV0q94NsOdbdowuhsZm%7Ctkp%3ABk9SR_iYs8OzZg,Tiffany & Co.,Sterling Silver,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Sterling%2520Silver&mag=1&rt=nc,257130342714,New,Necklace,Sterling Silver,
Auth Tiffany & Co. Photo frame Elsa Peretti beans design Sterling Silver #5925,280.0,US $280.00,USD,280.0,Pre-owned - Good Pre-owned - Good More information - About this item condition,,,,,https://www.ebay.com/itm/236358481194?_skw=Tiffany+%26+Co.+%22Sterling+Silver%22&itmmeta=01K6E3CSGXERWPPVFX4VKGTWPT&hash=item370810352a:g:D1YAAeSw5Dpo2yxH&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1cHKIBA77i2W%2B1r0PfFwZw6zLK09XwCwzhFGV9uSYGSAJzatJZ9OCHrbdBqwRN%2FUTlNM2Dvs2yvtaCTrnBXzxZc1cMQbFeGCqkfXyeYhUktnQRx1xnA6Ts%2FK7TZTNYopg0fMdyGpsXZKuROekfo4r6MM6cesHdYZwR5yzU1qQwK%2BxczT%2BW723jyL0hQEb0mRTRFzUQgR9THy2kpeAi2qPBqiVA1fVMWn6V81gxELB8mPDydXGVttEzcyFTVZkxaoTBSUGEREhQysTtGMahcrhaJClBWz%2FrDc%2BLi%2FqHKHCpRZ%2FLTxdzLOLB8z8nLwDih0I8%3D%7Ctkp%3ABk9SR_iYs8OzZg,Tiffany & Co.,Sterling Silver,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Sterling%2520Silver&mag=1&rt=nc,236358481194,Good,Other,Sterling Silver,
