title,price,price_text,currency,price_usd,condition,metal_item_page,purity_item_page,weight_item_page,length_item_page,url,brand,metal,metal_url
"Tiffany Co 18k Yellow Gold Elsa Peretti Diamond by the Yard Necklace 16""",649.99,US $649.99,USD,649.99,Pre-owned - Good Pre-owned - Good More information - About this item condition,,,,,https://www.ebay.com/itm/116790370464?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8H6JRXRAM601XXPRCG&hash=item1b313fa0a0:g:vrAAAeSwadlo0A6j&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1cxEtO3lNddfCCUzYqLJZptsMo1%2BqTecJYE7edVMMmsTrJEWsm%2B9%2F470HCE3CzuJg%2B7VeTWkL1M76oifXvl9PvPw%2F8V7mfSPKrZsX48S4kbamSTXtjjm9YJSuodkjpdLv2kMry1Dp5dv1l%2FYCFDv7tsJ2xVIx%2Byy%2BfxrO4a3NTofAq0P8aBCgdqD1k7Ac1%2Bfn9JBJn65KXpLhpG85mJK2fIF0RZTUz6MPDggsvYRJjEsjUAYFIv5GB7mQZ0hVuG2ICztHNYKC5qwWK4ZoHBDRj4n84WEsVG%2B--Nge7S2HF08y8Qf%2FcEN8KhlW6x6cHgvnI%3D%7Ctkp%3ABk9SR9bUs5qyZg,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
Tiffany & Co. Bean Pendant Necklace 18k Yellow Gold 750 Elsa Peretti excellent,675.02,US $675.02,USD,675.02,Pre-owned - Excellent Pre-owned - Excellent More information - About this item condition,,,,,https://www.ebay.com/itm/285507690310?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8H31ABHRSQYXGDY7AM&hash=item4279959f46:g:74YAAeSwx8ho1kN4&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1fNM8eZplcxjiIE47n2vGzmXek70vKAS0mcNMzqHkywIy3zCJ6mQFSf5iV6IEAPHkxkzaBOWm8WfddUOVY9xTwPKJSh7ht%2F3tYYd%2FytssjHhn4HFqClGRnGZuSwOPlyHwaBmO0YRxb%2F1Puv592Uu5ffQzVLUDLbwPGZzJYhZLQa1Vv3VX57ta3YFGL2CsnX02uVIl73LEAS18SImIbM0HcQzFSeiem53clW9GX1ZOzRwFoHTSnj2CidiwuoMnM2vnSzV%2Bx4QSk3IpKifoRUyAfXQ%2FnuiRORi--9NNbBQESXn7A%2F0jAAI19wqISBl5SKY5g%3D%7Ctkp%3ABFBM1NSzmrJm,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
Vintage Tiffany & Co 14K  585  Yellow Gold Oval Locket 4.48 Grams,699.99,US $699.99,USD,699.99,Pre-owned - Good Pre-owned - Good More information - About this item condition,,,,,https://www.ebay.com/itm/167807383338?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCXA0Z014PFJVYY94D25Y&hash=item271219772a:g:TJQAAeSwSUto0FW3,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
Tiffany & Co. 18K Yellow Gold T Wire Bracelet Medium Size Flawless W/Box,910.0,US $910.00,USD,910.0,Pre-owned - Excellent Pre-owned - Excellent More information - About this item condition,,,,,https://www.ebay.com/itm/306513491500?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8H1Q5Z2Q61MTVBV0CB&hash=item475da0b62c:g:oB4AAeSw88No0yTi&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1etlqnhRjF4RT5DSfydSgXbOkWWpZ%2FGPvR8ReQ%2BSXm932j4f98sb0dmH--OIaPuKCWlZA9YAPjqa6C%2BD%2BmgOh9mdi%2FKDw3BASoFX0is88DEddlxUtqgwdSyHH%2Bx1bMAPXg4j1PuX%2Bmicb%2B8eA0x7kC0DTScKvRxuN3R4bO%2BurqgEzrjpppRvIlg7K%2FDeiLR9EUBzLWl11ALlfcCOLcWDazpp2g%2FRa95jgskBrzRlb0yJo8RBDyMqMYFvkXZAqA8tRSrunJFb2iDZ4VWCSiZr0XDnW8U8YkDJOKjM2v0Dpr%2F0S0XAIJV3LwlNfFlBWgeYKY%3D%7Ctkp%3ABk9SR9bUs5qyZg,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
Tiffany & Co. 18k Solid Yellow Gold Lovey Dovey Charm Pendant,1500.0,"US $1,500.00",USD,1500.0,Pre-owned - Good Pre-owned - Good More information - About this item condition,,,,,https://www.ebay.com/itm/205746575386?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8JRAWCXJ806SXVDFA0&hash=item2fe773981a:g:RqAAAeSwaA5o1dPK&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1eMVCXVSepNRiqy35hDkYk0sHFZ7GK201crNFW%2BbMx5ErexlWV4GLj6IFVwB792ZkY7Bt7tynGtXxbug4IYTf2pFvxueohTZrauEvjVGetzcx7jjTy9PBnua8ZaX7j3P%2FaeClIOIswOamf%2BVHhlsdHZHhyx8OcPOd9zvjlEZgQurJnDbfxBuJoiSqg9OX5jr3Csah73A%2FMD0g8xPm3O2uQ4WIhOFX8vGfuBPVkvJUaBj0NI8aOseaxhZsrkqg7oCbdYVZtkCpcVlnBOb7Q4MwFQQmQQS36bLKEskwT58N7p8MpVrTQRh2rpxxXtiRS8j%2Bc%3D%7Ctkp%3ABFBM2NSzmrJm,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
"TIFFANY & Co Honeycomb Honey Bumble Bee Pendant Necklace 18k Gold 16"" Inch 4gm.",1009.0,"US $1,009.00",USD,1009.0,Pre-owned - Good Pre-owned - Good More information - About this item condition,,,,,https://www.ebay.com/itm/277395747465?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCXA0T0WDSZZJ2V6BZRB8&hash=item4096133289:g:-7MAAeSwZCVo0Eem,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
Tiffany Co 18k Yellow Gold 750 Mini Padlock Lock 1837 Pendant Charm Necklace 16”,999.0,US $999.00,USD,999.0,Pre-owned - Good Pre-owned - Good More information - About this item condition,,,,,https://www.ebay.com/itm/127361439540?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8HEXSG2JM8JF90D10Q&hash=item1da7555734:g:SzgAAeSw3ZVowLEp&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1fwhcSuprOamGaztXhWiczDwy3yMTHdKdKFHuJHCV4GwLAzhsYPXgzoJQYrVucNehut7gK%2BuTxMxvLf3IZyPvuaKJK9ccod8MyrO2FftekNykjE3MAchr3Qfze2lWy1KIqgQM4SBl2WvjZexwoLWIZJxqTtpkAuHeBZkmv5ZP1Zx%2BpZNZHIttkgx2ta6AYvyemKyY3t6wvPXk%2FYVafJx7ySoAG%2F6Y9DpoNuSEKhDf5B%2FEp20ZnxH7w%2BdBwIb7RIYd5dJsX%2Fwi90mimystu9sjdabPVhmDFd9hXzmSzZpATP3insoyavk6l28neK%2FqACEwE%3D%7Ctkp%3ABk9SR9TUs5qyZg,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
Tiffany Co 18k Yellow Gold 750 Mini Padlock Lock 1837 Pendant Charm Necklace 16”,999.0,US $999.00,USD,999.0,Pre-owned - Good Pre-owned - Good More information - About this item condition,,,,,https://www.ebay.com/itm/127361439540?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCXA0F5WMZ50C3ZSKPCGV&hash=item1da7555734:g:SzgAAeSw3ZVowLEp,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
Tiffany & Co. Vintage Sterling 925 & 750 Gold Hook And Eye Ring,160.0,US $160.00,USD,160.0,Pre-owned - Good Pre-owned - Good More information - About this item condition,,,,,https://www.ebay.com/itm/116795381959?_skw=Tiffany+%26+Co.+%22Yellow+Gold%22&itmmeta=01K68TCX8H4EYNW9AYS8JWAE50&hash=item1b318c18c7:g:aTwAAeSwz2Jo1F76&itmprp=enc%3AAQAKAAABAFkggFvd1GGDu0w3yXCmi1d1W%2FYlOIvCUe82LX4BIvPfND3O0oR7vck8pZJ4F0WUpTHTmSfOowB%2BubdEdF5zqpmcHGoTxN%2FIDPGHZIczwj8mVt9KZh%2FLNvCnvqZg%2BUh2EYevjYfOd4gV6txeai3xz9%2BkBli9TEFMUZ%2F7%2BRj%2FOdidSASo9v814tBLQIk%2BHMNeidZoaVUL9EYo6pex%2BnpmMk0WRRNE5ZToBnj--BKkS9wmdVoaC2aG1kQyjxcxdIiC1562BF795fWrw20JWzB%2BoiTYvpQ6AbSvdSk4zmgX3VZhACCRWA%2FVtS7RHCzeFYq7C2SQ1vzH%2BQPxHZEadim7T7A%3D%7Ctkp%3ABFBM1tSzmrJm,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
,,,,,,,,,,https://ebay.com/itm/123456?itmmeta=012DEW30YG0MEEKND7NH&hash=item123546:g:acwAA9KNiJowH:sc:ShippingMethodStandard!95008!US!-1&itmprp=enc%3AbgepL1tlUHjMGCVfSTGJh%2BzsVKeJ3CQk7NizDI4BZeppuFnmyS6Ijyp8lh%2FnEw%2BWqO7uTV1Q6izE1R0T54aV8j71F4xlWfVcGft4%2FiOQhtqVXA1rW6M1atPARQRmhqUxtEPJKhKtSFgI%2Bvwlzb0GwVCtkp%3ABlBMUObkmabpYw,Tiffany & Co.,Yellow Gold,https://www.ebay.com/b/Tiffany-Co/bn_21836959?Brand=Tiffany%2520%2526%2520Co%252E&Metal=Yellow%2520Gold&mag=1&rt=nc
